gene,log2FC,pvalue,padj,mean_tumor,mean_normal,baseMean,regulation
CEP55,5.588661799097202,6.448406212269524e-98,6.717089804447421e-95,8.44261044728329,2.853948648186088,5.648279547734688,UP
KIF20A,5.2340706015398055,3.90281096865863e-97,3.484652650588062e-94,8.2482644289559,3.014193827416095,5.631229128185998,UP
DEPDC1,4.999534986818759,3.25148549045569e-82,1.0160892157674032e-79,8.126540484321273,3.127005497502514,5.626772990911894,UP
CDCA8,5.336071607032636,5.006449346665329e-81,1.4900146865075383e-78,8.312877826477989,2.9768062194453524,5.6448420229616705,UP
TTK,5.174907126942228,3.2199219004841333e-85,1.2577819923766145e-82,8.222001281022639,3.0470941540804106,5.634547717551524,UP
SLC2A1,4.314588194183717,1.3850098099459007e-74,2.792358487794155e-72,7.751849915041145,3.4372617208574288,5.594555817949287,UP
LDHA,3.8969391332749086,3.01270658085952e-70,5.2303933695477775e-68,7.539733736133234,3.642794602858326,5.59126416949578,UP
ENO1,3.4320722676125537,2.0172199198073825e-70,3.5514435207876456e-68,7.345849664103921,3.913777396491367,5.6298135302976435,UP
PKM,3.767220544058321,1.2134655611922501e-73,2.3700499242036135e-71,7.4274768574805785,3.6602563134222574,5.543866585451418,UP
HK2,4.05941956574282,1.1530688085849864e-75,2.4850620874676432e-73,7.640079890218783,3.580660324475963,5.610370107347373,UP
VEGFA,4.393002692418552,2.4044624982572808e-76,5.272944075125615e-74,7.827143321481553,3.4341406290630005,5.630641975272277,UP
HIF1A,3.827531464405533,6.238334205399869e-70,1.0682079118835392e-67,7.519260036104279,3.6917285716987456,5.605494303901512,UP
SPP1,6.643645145391195,4.274606338208189e-103,7.633225603943194e-100,8.987921215069411,2.3442760696782154,5.6660986423738136,UP
POSTN,6.134322574781512,1.6348523421144908e-99,1.8577867524028303e-96,8.7012030346393,2.566880459857788,5.634041747248545,UP
FN1,5.293190442387459,7.227836101641744e-81,2.0533625288754953e-78,8.29484144965902,3.0016510072715596,5.64824622846529,UP
VIM,4.799648362298343,1.8252435225072121e-84,6.33765111981671e-82,8.042460333441204,3.242811971142861,5.642636152292033,UP
MMP9,5.933692436936434,1.3759255752943355e-84,4.9140199117654836e-82,8.61357477837848,2.679882341442045,5.646728559910263,UP
MMP7,5.499568568124135,8.841854448778533e-86,3.565263890636505e-83,8.42755867767985,2.927990109555714,5.677774393617781,UP
SNAI1,4.4188159373565306,2.1754769994592892e-75,4.609061439532393e-73,7.840717355327069,3.421901417970538,5.6313093866488035,UP
TWIST1,4.662218402704742,5.304199052378173e-92,3.315124407736358e-89,7.93126028827193,3.2690418855671886,5.600151086919559,UP
CD274,4.066882846706507,1.388124094614902e-81,4.232085654313725e-79,7.647586505400431,3.5807036586939236,5.614145082047178,UP
PDCD1LG2,3.671361330638937,4.0611827252414333e-75,8.32209574844556e-73,7.445949281922944,3.774587951284007,5.610268616603475,UP
IDO1,4.311639657246216,1.8059730304381841e-78,4.5149325760954604e-76,7.7418538814176685,3.430214224171453,5.5860340527945604,UP
CXCL1,4.969909197657264,1.1710262175564655e-88,5.8551310877823274e-86,8.120179263849593,3.1502700661923293,5.635224665020961,UP
IL6,4.645731434155969,3.1507774258262084e-77,7.160857785968656e-75,7.925774933241503,3.2800434990855347,5.6029092161635194,UP
SFTPC,-8.339217696143777,1.7073016700491147e-82,5.472120737336906e-80,1.6137075048567022,9.952925201000479,5.7833163529285905,DOWN
SFTPB,-7.95130987406353,2.734531955403357e-87,1.2659870163904431e-84,1.797610107844229,9.74891998190776,5.773265044875994,DOWN
SFTPA1,-7.580600401902462,2.6708668989853818e-77,6.182562266169865e-75,1.9464721909713045,9.527072592873767,5.7367723919225355,DOWN
SFTPA2,-7.143837728225016,4.0555149728688875e-75,8.32209574844556e-73,2.1199111478354737,9.26374887606049,5.691830011947982,DOWN
ABCA3,-6.717076458779275,4.676176581253917e-93,3.247344848092998e-90,2.327413889805891,9.044490348585166,5.6859521191955285,DOWN
NKX2-1,-6.190488646862798,4.746452823775737e-83,1.5613331657157032e-80,2.5864379830042545,8.776926629867052,5.681682306435653,DOWN
HOPX,-5.766545319602823,1.8422336196032385e-86,7.940662153462234e-84,2.752026704408516,8.51857202401134,5.635299364209928,DOWN
AGER,-6.422153627232129,6.819958709914474e-81,1.9825461366030447e-78,2.518126891073963,8.940280518306093,5.729203704690028,DOWN
AQP5,-5.383446397485718,3.9323993570856135e-73,7.44772605508639e-71,2.930962359526243,8.314408757011961,5.622685558269102,DOWN
LAMP3,-5.218062422741992,1.7405804823750311e-91,1.0360598109375186e-88,3.017841205155751,8.235903627897743,5.626872416526747,DOWN
CLDN18,-6.795390847041341,1.4384074508031323e-80,3.995576252230923e-78,2.2592975081501976,9.054688355191539,5.656992931670868,DOWN
EMP2,-4.834724118338102,4.8645056254918605e-67,8.00083162087477e-65,3.2175714078690896,8.05229552620719,5.63493346703814,DOWN
SCGB1A1,-6.464246616504342,3.823849599519805e-80,1.0169812764680332e-77,2.4250067391635235,8.889253355667865,5.657130047415694,DOWN
SCGB3A2,-5.891656053947922,8.812050201552794e-78,2.118281298450191e-75,2.6798733264987478,8.57152938044667,5.625701353472708,DOWN
CYP2B6,-5.556019024520417,1.0645413384101181e-70,1.9009666757323538e-68,2.863195895226758,8.419214919747175,5.641205407486966,DOWN
CYP1B1,-5.0273611976076795,7.663628202018491e-78,1.8783402455927672e-75,3.0862748561230093,8.113636053730689,5.5999554549268495,DOWN
DCLK1,-4.56834095487528,3.938191659286485e-74,7.813872339854137e-72,3.295028785302888,7.863369740178168,5.579199262740528,DOWN
CAV1,-4.209146209280261,4.26134679843507e-66,6.658354372554797e-64,3.4643900552502918,7.6735362645305525,5.568963159890422,DOWN
PDPN,-4.435461527271327,1.0210152608387747e-76,2.279051921515122e-74,3.3695773925621215,7.805038919833448,5.587308156197785,DOWN
EPCAM,-3.9308745734893233,6.2555974619450705e-71,1.1332604097726577e-68,3.6323540366498004,7.563228610139124,5.597791323394462,DOWN
KRT5,-5.364385870157554,6.113249456966871e-79,1.587989514859834e-76,2.9467536876982985,8.311139557855853,5.628946622777075,DOWN
KRT6A,-4.803844102709133,3.5458597385275336e-67,5.9097662308792226e-65,3.1658011952231235,7.969645297932257,5.567723246577691,DOWN
TP63,-5.687672421337218,1.8986653098950546e-77,4.477984221450601e-75,2.7886176367963005,8.476290058133518,5.632453847464909,DOWN
CDH1,-4.0390845345110575,6.265164733513573e-73,1.1688740174465621e-70,3.5585150685152236,7.597599603026281,5.578057335770753,DOWN
RB1,-4.261650230847307,2.1101088790521085e-72,3.878876615904611e-70,3.471635853159297,7.733286084006604,5.6024609685829505,DOWN
CDKN1A,-3.470286248746066,4.0753409993066617e-66,6.448324365991554e-64,3.834767104426108,7.305053353172174,5.5699102287991415,DOWN
CDKN2A,-4.805642568881831,5.0618644742381846e-85,1.9173729069084033e-82,3.2068246268614966,8.012467195743328,5.609645911302413,DOWN
PTEN,-3.898185096788601,1.8173869740194173e-68,3.0699104290868534e-66,3.6439354167470928,7.542120513535694,5.593027965141394,DOWN
STK11,-4.364223128452865,5.8471950659207154e-67,9.492199782338823e-65,3.4100071478619287,7.7742302763147935,5.592118712088361,DOWN
KEAP1,-3.7229717985341106,1.8853122839171312e-66,3.021333788328736e-64,3.739351188386458,7.462322986920569,5.600837087653513,DOWN
GENE_00000,-0.07524142192269956,0.22405068622860178,0.9869593401372023,5.550103731855445,5.625345153778144,5.5877244428167945,NS
GENE_00001,0.04427549120549479,0.3580282113157469,0.9869593401372023,5.573966339089782,5.529690847884287,5.551828593487034,NS
GENE_00002,0.005363701892169281,0.9234380166083698,0.9959285241233216,5.58576991152325,5.5804062096310805,5.583088060577165,NS
GENE_00003,0.02023807462431737,0.6851177967482445,0.9906007871464777,5.563146735507777,5.54290866088346,5.553027698195619,NS
GENE_00004,-0.006145806170730239,0.9010864129803027,0.994294140420419,5.53524259532182,5.54138840149255,5.538315498407185,NS
GENE_00005,-0.0812475542039266,0.11833598722436715,0.9553766034462324,5.541110604768594,5.622358158972521,5.581734381870557,NS
GENE_00006,-0.06127713317225769,0.24536146894629066,0.9869593401372023,5.569702604032724,5.6309797372049815,5.600341170618853,NS
GENE_00007,0.009747900787028918,0.8129255384319743,0.9921732246245829,5.531202437298166,5.521454536511137,5.526328486904651,NS
GENE_00008,-0.014945982256398871,0.7709928922799077,0.991262985535964,5.575227695647718,5.590173677904117,5.582700686775917,NS
GENE_00009,0.03795566719695298,0.4617526983211945,0.9869593401372023,5.545041648584548,5.507085981387595,5.526063814986072,NS
GENE_00010,-0.019873441659330915,0.6874685587938245,0.9906007871464777,5.567350964491967,5.587224406151298,5.577287685321632,NS
GENE_00011,-0.018617325051694777,0.7192301822379308,0.9906007871464777,5.560589225917599,5.579206550969293,5.569897888443446,NS
GENE_00012,0.023735807089313887,0.5772169123025358,0.9906007871464777,5.572773430614684,5.54903762352537,5.560905527070027,NS
GENE_00013,0.03420309704296898,0.44286418877839484,0.9869593401372023,5.566760818332006,5.532557721289037,5.549659269810522,NS
GENE_00014,-0.058071471372023176,0.296764407639631,0.9869593401372023,5.553295247900711,5.611366719272734,5.582330983586722,NS
GENE_00015,-0.018744822036028452,0.6956145071669276,0.9906007871464777,5.556195028320658,5.574939850356686,5.565567439338672,NS
GENE_00016,-0.04160151257495759,0.4593297307465847,0.9869593401372023,5.532896811956647,5.574498324531604,5.553697568244125,NS
GENE_00017,-0.12241762980657889,0.019557001496254976,0.7661285499421239,5.544630778877957,5.667048408684536,5.605839593781247,NS
GENE_00018,-0.03215903876275128,0.5338741729292089,0.9906007871464777,5.544924854023681,5.577083892786432,5.561004373405057,NS
GENE_00019,0.03946756070531254,0.4904414167119374,0.9887330119445041,5.5301366496316495,5.490669088926337,5.510402869278993,NS
GENE_00020,0.019375989280224992,0.7131924500961236,0.9906007871464777,5.567982240931591,5.548606251651366,5.558294246291478,NS
GENE_00021,-0.06177699585742413,0.24179411132960987,0.9869593401372023,5.554981080391529,5.616758076248953,5.58586957832024,NS
GENE_00022,-0.05170364435304897,0.3536879815624527,0.9869593401372023,5.558485085075677,5.610188729428726,5.584336907252202,NS
GENE_00023,-0.032116161909915064,0.5505709638415948,0.9906007871464777,5.556017200202552,5.588133362112467,5.57207528115751,NS
GENE_00024,-0.06305570222818613,0.19493363465901017,0.9778765801741449,5.5267612954937775,5.589816997721964,5.558289146607871,NS
GENE_00025,0.07155342586771685,0.15196580110675842,0.969805762381504,5.561707991721448,5.490154565853731,5.52593127878759,NS
GENE_00026,0.016312198166458458,0.7153030672943601,0.9906007871464777,5.549117768266755,5.5328055701002965,5.540961669183526,NS
GENE_00027,-0.015334431975767338,0.7324478709915665,0.9906007871464777,5.56926903090063,5.584603462876397,5.576936246888513,NS
GENE_00028,-0.005116638935759532,0.9152350068508932,0.9943883168740691,5.519922790714321,5.52503942965008,5.5224811101822,NS
GENE_00029,-0.01563939885293575,0.7390281269839234,0.9906007871464777,5.558178250264659,5.573817649117594,5.565997949691127,NS
GENE_00030,-0.08018857220098852,0.10198000889144537,0.9470717258346942,5.542704246781538,5.6228928189825265,5.582798532882032,NS
GENE_00031,-0.05572471873376461,0.26377658078398225,0.9869593401372023,5.574846532894111,5.630571251627876,5.602708892260994,NS
GENE_00032,0.014725170666784138,0.7659600548225514,0.991262985535964,5.571412737478243,5.556687566811459,5.564050152144851,NS
GENE_00033,0.05676372728154622,0.2819418533773324,0.9869593401372023,5.590314809174111,5.533551081892565,5.5619329455333375,NS
GENE_00034,0.028945554962549913,0.5844482362889817,0.9906007871464777,5.546311007506421,5.517365452543871,5.531838230025146,NS
GENE_00035,0.0734063982990465,0.17409795139360953,0.969805762381504,5.564614272112339,5.491207873813292,5.527911072962816,NS
GENE_00036,-0.020754577527102747,0.6490513179992801,0.9906007871464777,5.561729843051103,5.582484420578206,5.572107131814654,NS
GENE_00037,0.04664099835961544,0.3163996020627088,0.9869593401372023,5.550154073382813,5.503513075023197,5.526833574203005,NS
GENE_00038,-0.045344982840820336,0.36047313592418884,0.9869593401372023,5.56199731516329,5.60734229800411,5.5846698065837,NS
GENE_00039,0.014007999294692652,0.7930747355701434,0.9921732246245829,5.572334317744646,5.558326318449954,5.5653303180973,NS
GENE_00040,-0.08184401415549214,0.09467914092102946,0.9457290229474435,5.551405942540268,5.63324995669576,5.592327949618014,NS
GENE_00041,0.006474355733007364,0.9107881846167014,0.994294140420419,5.563506525185185,5.557032169452178,5.560269347318682,NS
GENE_00042,-0.020814832045220832,0.6524133277925408,0.9906007871464777,5.536498608106023,5.557313440151244,5.546906024128633,NS
GENE_00043,0.08192879762138627,0.1628447613240926,0.969805762381504,5.57727607615509,5.495347278533703,5.536311677344397,NS
GENE_00044,0.03660009547936838,0.46551179187921393,0.9869593401372023,5.586915849027751,5.550315753548382,5.568615801288066,NS
GENE_00045,-0.042218936116922734,0.3704110755520357,0.9869593401372023,5.55233501400625,5.5945539501231725,5.573444482064711,NS
GENE_00046,-0.09077143493859996,0.05686392012430315,0.9038990800587142,5.5446815903343385,5.6354530252729385,5.590067307803638,NS
GENE_00047,0.01584710242082732,0.7620427356228808,0.991262985535964,5.543265058378074,5.5274179559572465,5.53534150716766,NS
GENE_00048,0.05494837137233155,0.21215845124315522,0.9869593401372023,5.574211869118942,5.519263497746611,5.546737683432776,NS
GENE_00049,0.010420352260315013,0.8408249432831014,0.9921732246245829,5.530048292687176,5.519627940426861,5.524838116557018,NS
GENE_00050,-0.04833782497668082,0.40313913371887844,0.9869593401372023,5.54460023741237,5.592938062389051,5.56876914990071,NS
GENE_00051,0.04046370423887069,0.44237221830681633,0.9869593401372023,5.55635947948249,5.515895775243619,5.536127627363054,NS
GENE_00052,0.0978931382628252,0.040765375232332965,0.8721583348646612,5.576292279870221,5.478399141607396,5.527345710738809,NS
GENE_00053,0.039794127948002966,0.4569955461509545,0.9869593401372023,5.549751080134592,5.509956952186589,5.5298540161605905,NS
GENE_00054,0.013115765248580935,0.8079661907944582,0.9921732246245829,5.56421188723795,5.551096121989369,5.55765400461366,NS
GENE_00055,0.010931783211903578,0.8582761094661476,0.9922365404621472,5.588812317499961,5.577880534288058,5.5833464258940095,NS
GENE_00056,-0.009388898006971402,0.8477227862152573,0.9921732246245829,5.553361131488511,5.562750029495483,5.558055580491997,NS
GENE_00057,-0.013780645434995797,0.798040596620784,0.9921732246245829,5.578504745387639,5.592285390822635,5.585395068105138,NS
GENE_00058,-0.06282024812205744,0.2569131094400049,0.9869593401372023,5.53730817978075,5.600128427902807,5.568718303841779,NS
GENE_00059,0.020799838420619388,0.6824700164682427,0.9906007871464777,5.574172272819466,5.553372434398846,5.563772353609156,NS
GENE_00060,-0.057771292574484434,0.2500488170748766,0.9869593401372023,5.534809233511514,5.592580526085999,5.563694879798756,NS
GENE_00061,0.06290192656774263,0.30205456874688635,0.9869593401372023,5.569665976305342,5.506764049737599,5.538215013021471,NS
GENE_00062,-0.07638597076993747,0.12918291863353812,0.9604794630325862,5.524412935661321,5.600798906431258,5.5626059210462895,NS
GENE_00063,-0.0738180079902735,0.1473504448406309,0.969805762381504,5.5649754874653405,5.638793495455614,5.601884491460478,NS
GENE_00064,0.01236134105734532,0.7855629965951992,0.9921732246245829,5.5692290503705,5.556867709313154,5.5630483798418275,NS
GENE_00065,0.029738928685082655,0.5698730413311656,0.9906007871464777,5.5628504861928825,5.5331115575078,5.547981021850341,NS
GENE_00066,0.1101057095965361,0.05344324122119411,0.8995633647091456,5.573875284826326,5.46376957522979,5.518822430028058,NS
GENE_00067,-0.012733309066287113,0.8006290114188073,0.9921732246245829,5.568048134918755,5.5807814439850425,5.5744147894518985,NS
GENE_00068,0.02706734297537494,0.546822634710788,0.9906007871464777,5.5534088738679435,5.5263415308925685,5.539875202380256,NS
GENE_00069,-0.020569152437467153,0.6713340183836181,0.9906007871464777,5.565793695283851,5.586362847721318,5.576078271502585,NS
GENE_00070,0.09900721968300719,0.12834750839239553,0.9604794630325862,5.564376982419437,5.4653697627364295,5.514873372577933,NS
GENE_00071,0.07943116014146945,0.0771028938300436,0.9241193752399924,5.570340423021616,5.490909262880146,5.530624842950881,NS
GENE_00072,0.03300179454086738,0.5234934639508261,0.9906007871464777,5.570202677718038,5.537200883177171,5.5537017804476045,NS
GENE_00073,-0.06351820919125117,0.31435745092301925,0.9869593401372023,5.547610058572132,5.611128267763383,5.579369163167757,NS
GENE_00074,0.03045730296716087,0.5568218904761361,0.9906007871464777,5.557386287623422,5.526928984656261,5.542157636139842,NS
GENE_00075,0.08373002020085174,0.14832100529037517,0.969805762381504,5.582769217900446,5.499039197699594,5.54090420780002,NS
GENE_00076,-0.04552077465600579,0.34038438653199604,0.9869593401372023,5.551054475260682,5.596575249916688,5.573814862588685,NS
GENE_00077,0.004212554153902204,0.9541345773441972,0.9991581759476448,5.567484014795065,5.563271460641163,5.565377737718114,NS
GENE_00078,-0.007991668624773851,0.8795512854904635,0.994294140420419,5.5475924117220625,5.555584080346836,5.5515882460344494,NS
GENE_00079,-0.0010138045919534378,0.9826414325949101,0.9997733431489237,5.533738312926657,5.53475211751861,5.534245215222633,NS
GENE_00080,-0.04312368423962454,0.42888846483828963,0.9869593401372023,5.540873442896217,5.5839971271358415,5.562435285016029,NS
GENE_00081,-0.021099889826290408,0.6832939431745487,0.9906007871464777,5.552028318552945,5.573128208379235,5.56257826346609,NS
GENE_00082,0.0029093260805748145,0.9465112359666394,0.9985981135704755,5.549814493457968,5.5469051673773935,5.548359830417681,NS
GENE_00083,-0.05209372363518128,0.3064555722562619,0.9869593401372023,5.557175257200497,5.609268980835679,5.583222119018088,NS
GENE_00084,0.04223251135345141,0.4488639883927782,0.9869593401372023,5.52634958520979,5.484117073856338,5.505233329533064,NS
GENE_00085,-0.011010403719294182,0.8391539225828939,0.9921732246245829,5.532158471467568,5.543168875186862,5.537663673327215,NS
GENE_00086,0.03249818499727386,0.5539173029042361,0.9906007871464777,5.531435077365509,5.498936892368235,5.515185984866871,NS
GENE_00087,0.06624523414160333,0.1975454947380159,0.9778765801741449,5.548013888846339,5.4817686547047355,5.514891271775538,NS
GENE_00088,-0.014742082915580212,0.7673174346570817,0.991262985535964,5.562851671187174,5.577593754102754,5.570222712644964,NS
GENE_00089,0.03170212556846508,0.5779437681082664,0.9906007871464777,5.543397534624588,5.511695409056123,5.527546471840355,NS
GENE_00090,-0.048810663444089464,0.32436799749691514,0.9869593401372023,5.566541404070105,5.615352067514195,5.59094673579215,NS
GENE_00091,0.09733794709733878,0.07051157116483167,0.9102890050743779,5.568667146726683,5.471329199629344,5.5199981731780134,NS
GENE_00092,0.023820745760944284,0.6309191096780841,0.9906007871464777,5.567129976574119,5.543309230813175,5.555219603693647,NS
GENE_00093,-0.014807162210010993,0.7713814129947326,0.991262985535964,5.558200108974598,5.573007271184609,5.5656036900796035,NS
GENE_00094,-0.046402651373174564,0.3693540112078466,0.9869593401372023,5.559304697890062,5.605707349263237,5.5825060235766495,NS
GENE_00095,0.005949448876662267,0.8952487876174491,0.994294140420419,5.570202057489351,5.564252608612689,5.5672273330510205,NS
GENE_00096,-0.05327284112464348,0.3128319565031231,0.9869593401372023,5.535651350077639,5.588924191202283,5.562287770639961,NS
GENE_00097,-0.011736812979492584,0.8223334521322716,0.9921732246245829,5.562167778284311,5.573904591263804,5.568036184774058,NS
GENE_00098,-0.05466385318204381,0.3104416186083124,0.9869593401372023,5.532774240490698,5.587438093672742,5.56010616708172,NS
GENE_00099,0.0012450170894728885,0.9806029214246832,0.9997733431489237,5.558525784362477,5.557280767273004,5.55790327581774,NS
GENE_00100,0.059169346348695306,0.19681917381355682,0.9778765801741449,5.539564168661191,5.480394822312496,5.509979495486844,NS
GENE_00101,0.02710034548792617,0.5957237076744063,0.9906007871464777,5.557813636261006,5.53071329077308,5.5442634635170425,NS
GENE_00102,-0.02426093439931165,0.6283901071353398,0.9906007871464777,5.564399650301699,5.58866058470101,5.576530117501354,NS
GENE_00103,-0.014701326009359583,0.7466755811636324,0.9906007871464777,5.548508452662724,5.563209778672084,5.555859115667404,NS
GENE_00104,-0.02343567163915683,0.6696134814669197,0.9906007871464777,5.548708553604146,5.572144225243303,5.560426389423725,NS
GENE_00105,0.10199395841733239,0.09826622786608698,0.9470717258346942,5.547428813738349,5.445434855321016,5.496431834529682,NS
GENE_00106,-0.0086908185911172,0.8500933057736424,0.9921732246245829,5.539787202225474,5.548478020816591,5.544132611521032,NS
GENE_00107,0.023244322583898303,0.6548684256342372,0.9906007871464777,5.571549195787635,5.548304873203737,5.559927034495686,NS
GENE_00108,0.044834198553362015,0.39090314043179936,0.9869593401372023,5.568309778362446,5.523475579809084,5.545892679085765,NS
GENE_00109,-0.036509396397913285,0.5508977386143619,0.9906007871464777,5.572173318616372,5.608682715014285,5.590428016815329,NS
GENE_00110,0.017724086526500038,0.7221901494879228,0.9906007871464777,5.557587071015184,5.539862984488684,5.548725027751933,NS
GENE_00111,0.07712886680958508,0.16614696870429643,0.969805762381504,5.563786953198456,5.4866580863888705,5.5252225197936635,NS
GENE_00112,0.04069071703474503,0.41809968655216806,0.9869593401372023,5.536464800209864,5.495774083175119,5.516119441692492,NS
GENE_00113,0.0854197285369569,0.0697017713878738,0.9102890050743779,5.573488637519329,5.488068908982372,5.530778773250851,NS
GENE_00114,-0.025549974413682897,0.6205388156084324,0.9906007871464777,5.569983218173475,5.595533192587158,5.582758205380317,NS
GENE_00115,0.04078311478203922,0.4175293073362446,0.9869593401372023,5.587456222126843,5.5466731073448035,5.567064664735823,NS
GENE_00116,0.019141302257525084,0.7403801596289465,0.9906007871464777,5.56781310410704,5.5486718018495145,5.558242452978277,NS
GENE_00117,0.039449471512495116,0.464908865637951,0.9869593401372023,5.561520611091825,5.52207113957933,5.541795875335577,NS
GENE_00118,0.08316789210920295,0.12550389079249777,0.9604794630325862,5.554539942118614,5.471372050009411,5.512955996064013,NS
GENE_00119,0.001016529317290349,0.9819247820669115,0.9997733431489237,5.55204478142356,5.55102825210627,5.551536516764915,NS
GENE_00120,0.0076375559683805605,0.8852660035059498,0.994294140420419,5.573220786169424,5.565583230201043,5.569402008185234,NS
GENE_00121,-0.046071529895039376,0.34167049601231425,0.9869593401372023,5.548903685241445,5.594975215136484,5.571939450188965,NS
GENE_00122,0.05195619842062005,0.33246986555035374,0.9869593401372023,5.550370238446931,5.498414040026311,5.524392139236621,NS
GENE_00123,-0.04593384975388659,0.37137623954754134,0.9869593401372023,5.55652448573243,5.602458335486316,5.579491410609373,NS
GENE_00124,-0.0016822901102742094,0.9733850856889754,0.9997733431489237,5.54933871471053,5.551021004820805,5.5501798597656675,NS
GENE_00125,0.01766571845827425,0.7463368379557108,0.9906007871464777,5.546473630261745,5.5288079118034705,5.537640771032608,NS
GENE_00126,0.026238365595560253,0.6139054953547353,0.9906007871464777,5.573075800473851,5.546837434878291,5.559956617676071,NS
GENE_00127,-0.0012563394285400875,0.9789729479316084,0.9997733431489237,5.5508585965315085,5.552114935960049,5.5514867662457785,NS
GENE_00128,-0.05734905578557292,0.2267799216760043,0.9869593401372023,5.5536111781865385,5.610960233972111,5.582285706079325,NS
GENE_00129,0.014106328095680354,0.7879110915071661,0.9921732246245829,5.551432388975947,5.537326060880266,5.5443792249281065,NS
GENE_00130,-0.052157581691600896,0.31547355392294446,0.9869593401372023,5.55459711115899,5.606754692850591,5.58067590200479,NS
GENE_00131,0.013068984333743927,0.8179871542076972,0.9921732246245829,5.542337697033205,5.529268712699461,5.535803204866333,NS
GENE_00132,0.10566540546363168,0.05405798485420514,0.9009664142367524,5.5752435351804195,5.469578129716788,5.522410832448603,NS
GENE_00133,-0.018684020756851716,0.7316638887854359,0.9906007871464777,5.539502798050113,5.5581868188069645,5.548844808428539,NS
GENE_00134,0.01688049957413984,0.7321926490769931,0.9906007871464777,5.569875021612209,5.552994522038069,5.561434771825139,NS
GENE_00135,-0.03642272951787007,0.45140986359642576,0.9869593401372023,5.568062530255246,5.604485259773116,5.586273895014181,NS
GENE_00136,0.04505965946473367,0.39843455918572546,0.9869593401372023,5.5673061128857,5.5222464534209665,5.544776283153333,NS
GENE_00137,-0.04150192676416253,0.42021891315099574,0.9869593401372023,5.559125555448122,5.600627482212285,5.579876518830203,NS
GENE_00138,-0.006820582298779243,0.9039609973129745,0.994294140420419,5.566655470073801,5.57347605237258,5.570065761223191,NS
GENE_00139,0.008208849391126094,0.8737528222783635,0.9936895231652877,5.566879816173989,5.558670966782863,5.562775391478426,NS
